"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDMV"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","34.0236","-118.2911","54.6","1993-05",,"0.02",,"68.9","77.0","60.7",,
"USC00046960","PLACERVILLE, CA US","38.6955","-120.8244","563.9","1993-05",,"2.53","0.0","60.7","74.2","47.1",,
"USC00043452","GLENDORA FC 287B, CA US","34.1472","-117.8472","284.4","1993-05",,"0.03","0.0",,,,,
"USC00043573","GRASS VALLEY NUMBER 2, CA US","39.2041","-121.068","731.5","1993-05",,"2.13","0.0","57.3","68.4","46.1",,
"USC00045983","MOUNT SHASTA, CA US","41.32175","-122.31725","1101.2","1993-05",,"5.24","0.0","54.3","66.6","42.0",,
"USC00045502","MECCA FIRE STATION, CA US","33.5697","-116.073","-55.8","1993-05",,"0.00","0.0","81.1","98.5","63.7",,
"USC00042598","EAGLE MOUNTAIN, CA US","33.80807","-115.45138","296.6","1993-05",,"0.08","0.0","81.6","92.8","70.4",,
"USC00044412","JULIAN CDF, CA US","33.0763","-116.5925","1284.7","1993-05",,"0.56","0.0",,,,,
"USC00045866","MORRO BAY FIRE DEPARTMENT, CA US","35.367","-120.8447","36.0","1993-05",,"0.60","0.0","57.9","66.2","49.6",,
"USC00041149","BUCKHORN, CA US","40.87972","-121.93168","1127.8","1993-05",,"5.18","0.0",,,,,
"USC00042239","CUYAMACA, CA US","32.9897","-116.5872","1414.3","1993-05",,"0.60","0.0","57.3","70.1","44.6",,
"USC00044890","LEMON COVE, CA US","36.3817","-119.0264","156.4","1993-05",,"0.23","0.0","70.1","86.6","53.6",,
"USR0000CFRE","FREMONT CANYON CALIFORNIA, CA US","33.8081","-117.7111","542.8","1993-05",,,,"65.6","76.8","54.5",,
"USW00003159","LANCASTER, CA US","34.74121","-118.21255","712.6","1993-05",,"0.00","0.0","66.5","79.5","53.4",,
"USC00046719","PASADENA, CA US","34.1483","-118.1447","263.3","1993-05",,"0.02","0.0","68.9","81.7","56.2",,
"USC00047807","SAN GREGORIO 2 SE, CA US","37.31167","-122.36167","83.8","1993-05",,"1.57","0.0","57.5","66.6","48.5",,
"USW00003154","CAMP PENDLETON MCAS, CA US","33.30424","-117.35508","21.4","1993-05","6.3","0.00","0.0","66.7","75.3","58.2",,
"USC00041010","BOULEVARD 2, CA US","32.66667","-116.3","1097.3","1993-05",,"0.08","0.0",,,,,
"USC00041253","CACHUMA LAKE, CA US","34.58223","-119.98159","240.5","1993-05",,"0.00","0.0","64.9","81.4","48.4",,"1335.9"
"USC00046943","PISMO BEACH, CA US","35.1597","-120.683","11.9","1993-05",,"0.04","0.0",,,,,
"USC00041497","CANYON DAM, CA US","40.1705","-121.0886","1389.9","1993-05",,"2.76","0.0","52.0","66.0","38.0",,
"USC00044523","KERN RIVER PH 3, CA US","35.7831","-118.4389","823.9","1993-05",,"0.00","0.0","67.8","84.6","51.0",,
